,Institution Name,City,State,Zip Code,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate
3931,College of Biblical Studies-Houston,Houston,TX,77036-3211,2,29.716676,-95.506559,205.0,16729.0,,7475.0,9275.0,
3936,The College of Health Care Professions-Northwest,Houston,TX,77092,3,29.836247,-95.485204,3201.0,,36625.0,,,
3938,Fortis College,Houston,TX,77082,3,29.732861,-95.64832,258.0,,34707.0,,,
3954,Tri-State Cosmetology Institute,El Paso,TX,79935,3,31.749969,-106.3372,146.0,,20788.0,,,
3967,Southern Careers Institute-Corpus Christi,Corpus Christi,TX,78414,3,27.68504,-97.363145,470.0,,28423.0,,,
3971,Galen College of Nursing-San Antonio,San Antonio,TX,78229,3,29.507685,-98.585653,3163.0,,,,,
3994,UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,78550-5034,3,26.20168,-97.684044,60.0,,21292.0,,,
4000,Southern Careers Institute-Pharr,Pharr,TX,78577,3,26.211217,-98.201038,645.0,,28830.0,,,
4008,South Texas College,McAllen,TX,78501,1,26.217591,-98.253634,17846.0,7764.0,,4230.0,7500.0,
4032,Baldwin Beauty School-North Austin,Austin,TX,78757-7068,3,30.365855,-97.729371,105.0,,19281.0,,,
4044,The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,1,29.707016,-95.396804,337.0,,,,,
4063,Messenger College,Bedford,TX,76021,2,32.85076,-97.161015,19.0,23025.0,,11040.0,11040.0,0.5
4107,Pipo Academy of Hair Design,El Paso,TX,79903,3,31.78446,-106.459711,14.0,,10864.0,,,
4108,Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,75051,3,32.708337,-97.001678,103.0,,23322.0,,,
4121,Texas College of Cosmetology-San Angelo,San Angelo,TX,76904,3,31.420928,-100.47194,85.0,,21466.0,,,
4133,Northwest Vista College,San Antonio,TX,78251,1,29.471308,-98.70513,12964.0,11019.0,,3262.0,14272.0,
4139,Bakke Graduate University,Dallas,TX,75243-7039,2,32.894605,-96.753976,,,,,,
4156,Mid Cities Barber College,Grand Prairie,TX,75051-4892,3,32.710329,-97.006955,32.0,,15628.0,,,
4175,American College of Acupuncture and Oriental Med,Houston,TX,77063-4104,3,29.735747,-95.524765,,,,,,
4176,AOMA Graduate School of Integrative Medicine,Austin,TX,78745,3,30.228551,-97.800643,,,,,,
4180,Southern Careers Institute-San Antonio,San Antonio,TX,78221,3,29.355774,-98.494238,611.0,,27171.0,,,
4186,Texas Health and Science University,Austin,TX,78704,3,30.233143,-97.785289,23.0,,,,,
4201,International Beauty College,Garland,TX,75040-3294,3,32.945805,-96.645638,68.0,,18750.0,,,
4207,CET-El Paso,El Paso,TX,79907,2,31.696199,-106.323115,72.0,,21925.0,,,
4226,Academy of Hair Design-Lufkin,Lufkin,TX,75904,3,31.330724,-94.718704,82.0,,17194.0,,,
4227,Pathway Vocational Academy,Beaumont,TX,77701-4650,3,30.067103,-94.122709,49.0,,22324.0,,,
4254,Toni & Guy Hairdressing Academy-Plano,Plano,TX,75093,3,33.026159,-96.797544,113.0,,26242.0,,,
4262,Advanced Barber College and Hair Design,Weslaco,TX,78596,3,26.131543,-97.958247,134.0,,26642.0,,,
4263,The College of Health Care Professions-Austin,Austin,TX,78723,3,30.322978,-97.699064,697.0,,33631.0,,,
4265,Chicago School of Professional Psychology-College of Nursing,Richardson,TX,75080,2,32.979753,-96.75721,65.0,,31930.0,,,0.2717
4268,Milan Institute-San Antonio Ingram,San Antonio,TX,78238,3,29.463767,-98.624719,247.0,,29145.0,,,
4295,The King's University,Southlake,TX,76092,2,32.93973,-97.121526,255.0,27335.0,,12720.0,12720.0,0.9375
4320,Interactive College of Technology,Pasadena,TX,77502,3,29.690435,-95.213765,51.0,19821.0,,10610.0,10610.0,
4324,Milan Institute-Amarillo,Amarillo,TX,79106,3,35.185278,-101.916984,154.0,,31632.0,,,
4326,Texas Barber College,Houston,TX,77036,3,29.69036,-95.532975,444.0,,20682.0,,,
4354,Concorde Career College-Grand Prairie,Grand Prairie,TX,75052-3831,3,32.675369,-97.05498,849.0,,29812.0,,,1.0
4355,Lamar Institute of Technology,Beaumont,TX,77705,1,30.047885,-94.077126,2971.0,14150.0,,2844.0,12636.0,
4356,Aviation Institute of Maintenance-Dallas,Irving,TX,75061,3,32.836068,-96.941822,406.0,28111.0,,16757.0,16757.0,
4388,Dallas Barber & Stylist College,Dallas,TX,75243,3,32.909891,-96.737009,24.0,,23156.0,,,
4395,Jay's Technical Institute,Houston,TX,77071,3,29.64877,-95.525281,52.0,,25478.0,,,
4403,Trend Barber College,Houston,TX,77071-2202,3,29.65621,-95.522116,29.0,,19987.0,,,
4404,Valley Grande Institute for Academic Studies,Weslaco,TX,78596,2,26.158256,-97.990391,229.0,,18418.0,,,
4417,Interactive College of Technology,Houston,TX,77060-2303,3,29.945555,-95.403559,48.0,19112.0,,10610.0,10610.0,
4440,Baptist University of the Americas,San Antonio,TX,78224-1443,2,29.342919,-98.541223,108.0,13183.0,,6768.0,6768.0,
4448,Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,78752,3,30.326455,-97.717865,437.0,,20061.0,,,
4449,Culinary Institute Inc,Houston,TX,77022-4322,3,29.823623,-95.378633,336.0,33982.0,,17279.0,17279.0,
4468,American InterContinental University-Houston,Houston,TX,77042,3,29.728216,-95.548302,122.0,24626.0,,14725.0,14725.0,
4470,Remington College-North Houston Campus,Houston,TX,77067,2,29.946769,-95.424881,185.0,29173.0,,19518.0,19518.0,
4476,Altierus Career College-Bissonnet,Houston,TX,77036-8001,2,29.677415,-95.544702,260.0,27840.0,,15822.0,15822.0,
4530,Academy of Hair Design-Jasper,Jasper,TX,75951,3,30.908648,-94.004879,56.0,,16680.0,,,
4533,The College of Health Care Professions-Southwest Houston,Houston,TX,77074,3,29.701897,-95.517146,714.0,,34166.0,,,
4563,Texas Health School,Houston,TX,77079,3,29.783709,-95.586269,109.0,,34294.0,,,
4586,The College of Health Care Professions-San Antonio,San Antonio,TX,78229,3,29.488876,-98.576627,660.0,,31119.0,,,
4612,CCI Training Center-Arlington,Arlington,TX,76011,3,32.755006,-97.101289,187.0,,20782.0,,,
4613,Champion Beauty College,Houston,TX,77068,3,29.99352,-95.489161,22.0,,19073.0,,,
4614,Southeast Texas Career Institute,Silsbee,TX,77656,3,30.341896,-94.169885,71.0,,20076.0,,,
4621,Milan Institute of Cosmetology-San Antonio Military,San Antonio,TX,78221,3,29.358241,-98.500738,164.0,,22680.0,,,
4633,Brite Divinity School,Fort Worth,TX,76129,2,32.710145,-97.359137,,,,,,
4646,Trend Barber College,Houston,TX,77090,3,29.982205,-95.435485,84.0,,21305.0,,,
4683,Manuel and Theresa's School of Hair Design-Bryan,Bryan,TX,77803,3,30.667077,-96.370573,16.0,,16700.0,,,
4684,Southwest University at El Paso,El Paso,TX,79925,3,31.788346,-106.413158,1596.0,24000.0,,16000.0,16000.0,
4685,Paul Mitchell the School-Austin,Austin,TX,78759,3,30.386375,-97.740293,181.0,,26518.0,,,
4689,Paul Mitchell the School-San Antonio,San Antonio,TX,78259,3,29.610611,-98.465779,292.0,,26612.0,,,
4692,The Art Institute of Austin,Bastrop,TX,78602,3,30.110905,-97.313486,78.0,44078.0,,20794.0,20794.0,
4693,Remington College-Houston Southeast Campus,Webster,TX,77598,2,29.52528,-95.123503,63.0,31964.0,,13401.0,13401.0,
4764,Hands on Therapy,Mesquite,TX,75149,3,32.787719,-96.60627,50.0,,21713.0,,,
4765,MediaTech Institute-Dallas,Dallas,TX,75234,3,32.92427,-96.902721,204.0,,24368.0,,,
4766,Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,78259-2792,3,29.637354,-98.452126,225.0,,23292.0,,,
4794,South Texas Training Center,San Benito,TX,78586,3,26.156604,-97.652989,160.0,14714.0,,12370.0,12370.0,
4803,MediaTech Institute-Houston,Houston,TX,77042,3,29.724809,-95.568341,73.0,,24023.0,,,
4805,Lamson Institute,San Antonio,TX,78238,3,29.481426,-98.607504,390.0,,28323.0,,,
4820,South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,78521,3,25.944046,-97.502052,247.0,,26257.0,,,
4821,Miller-Motte College-STVT-Corpus Christi,Corpus Christi,TX,78416,3,27.739649,-97.433269,320.0,,26807.0,,,
4884,Houston International College Cardiotech Ultrasound School,Houston,TX,77099,3,29.675203,-95.592909,41.0,25943.0,,11978.0,11978.0,1.0
4885,DuVall's School of Cosmetology,Bedford,TX,76021,3,32.852275,-97.168105,90.0,,23403.0,,,
4886,Texas Beauty College,Haltom city,TX,76117,3,32.826045,-97.265311,68.0,,9176.0,,,
4887,Avenue Five Institute,Austin,TX,78757,3,30.369503,-97.728961,270.0,,28922.0,,,
4888,The Salon Professional Academy-Lewisville,Lewisville,TX,75067,3,33.005024,-96.964907,120.0,,22626.0,,,
4912,Strayer University-Texas,Farmers Branch,TX,75234,3,32.910744,-96.887509,2251.0,23985.0,,13515.0,13515.0,
4913,The Art Institute of San Antonio,San Antonio,TX,78230,3,29.532925,-98.56556,180.0,39220.0,,20794.0,20794.0,
4939,Peloton College,Dallas,TX,75206,3,32.861997,-96.769353,75.0,,20801.0,,,
4940,ABC Beauty Academy,Richardson,TX,75081,3,32.931698,-96.685333,64.0,,13061.0,,,
4941,Salon & Spa Institute,Brownsville,TX,78520-8809,3,25.938911,-97.508606,99.0,,35798.0,,,
4951,Texas A&M University-San Antonio,San Antonio,TX,78224,1,29.304762,-98.52417,6404.0,22127.0,,9548.0,22764.0,0.9609
4952,Fortis Institute,Houston,TX,77060,3,29.93744,-95.395051,295.0,,26127.0,,,
4953,Southern Careers Institute-Brownsville,Brownsville,TX,78520,3,25.936988,-97.501124,618.0,,19876.0,,,
4954,Southern Careers Institute-Harlingen,Harlingen,TX,78550,3,26.20385,-97.675281,508.0,,26393.0,,,
4962,Pima Medical Institute-Houston,Houston,TX,77041,3,29.838306,-95.562287,892.0,,28488.0,,,
4964,Miller-Motte College-STVT-San Antonio,San Antonio,TX,78216,3,29.35599,-98.4891,557.0,,25797.0,,,
4965,Concorde Career College-Dallas,Dallas,TX,75243,3,32.91856,-96.741711,615.0,,26986.0,,,0.9455
4967,Concorde Career College-San Antonio,San Antonio,TX,78229,3,29.49003,-98.582351,521.0,,29048.0,,,1.0
4975,Milan Institute of Cosmetology-El Paso,El Paso,TX,79936,3,31.749325,-106.300156,293.0,,30625.0,,,
4976,Universal Technical Institute-Dallas Fort Worth,Irving,TX,75063,3,32.93806,-97.012741,1727.0,,29435.0,,,
4990,Ogle School Hair Skin Nails-North Dallas,Dallas,TX,75248-1216,3,32.984161,-96.803615,298.0,,23622.0,,,
5015,Diamonds College,Sherman,TX,75090-2657,3,33.673442,-96.606125,55.0,,22239.0,,,
5036,Buckner Barber School,Dallas,TX,75217-1775,3,32.737175,-96.684709,30.0,,28791.0,,,
5040,North American University,Stafford,TX,77477-0000,2,29.646303,-95.588338,453.0,22520.0,,12300.0,12300.0,
5070,Chamberlain University-Texas,Houston,TX,77041,3,29.838386,-95.560414,2167.0,35342.0,,19629.0,19629.0,0.8571
5090,Manuel and Theresa's School of Hair Design-Victoria,Victoria,TX,77902-7076,3,28.799901,-96.991589,15.0,,16913.0,,,
5112,Paul Mitchell the School-Arlington,Arlington,TX,76018-6032,3,32.680899,-97.107997,264.0,,28483.0,,,
5118,Criswell College,Dallas,TX,75246-1537,2,32.793513,-96.77669,121.0,24744.0,,13350.0,13350.0,1.0
5121,UCAS University of Cosmetology Arts & Sciences-La Joya,La Joya,TX,78560-4018,3,26.24605,-98.468021,55.0,,21733.0,,,
5135,Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,TX,78201-5035,3,29.462345,-98.523455,109.0,,30310.0,,,
5136,Vogue College of Cosmetology,San Antonio,TX,78238-4402,3,29.465563,-98.602991,105.0,,,,,
5146,Rio Grande Valley College,Pharr,TX,78577-2106,3,26.24215,-98.177978,513.0,,26421.0,,,
5158,Wade Gordon Hairdressing Academy,Amarillo,TX,79109,3,35.186494,-101.873963,162.0,,29700.0,,,
5166,West Coast University-Dallas,Richardson,TX,75080-2712,3,32.98221,-96.716284,975.0,29530.0,,17090.0,17090.0,
5169,Ogle School Hair Skin Nails-Denton,Denton,TX,76205-7534,3,33.192334,-97.113213,164.0,,23650.0,,,
5184,South University-Austin,Round Rock,TX,78681-2300,3,30.479474,-97.689972,288.0,33088.0,,17014.0,17014.0,
5186,Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,78216,3,29.518311,-98.503686,448.0,,22947.0,,,
5201,The College of Health Care Professions-Dallas,Dallas,TX,75247,3,32.830186,-96.875021,545.0,,32122.0,,,
5202,The College of Health Care Professions-Fort Worth,Fort Worth,TX,76137-5021,3,32.816901,-97.311645,832.0,,32774.0,,,
5206,CyberTex Institute of Technology,Austin,TX,78752,3,30.324403,-97.70303,171.0,,26869.0,,,
5214,M T Training Center,Grand Prairie,TX,75051,3,32.72,-97.042564,199.0,,20179.0,,,
5235,Southern Texas Careers Academy,McAllen,TX,78504-2569,3,26.238609,-98.207283,48.0,,20705.0,,,
5240,Grace School of Theology,Conroe,TX,77384-4894,2,30.205731,-95.472493,184.0,23565.0,,6760.0,6760.0,
5263,Southern Careers Institute-San Antonio,San Antonio,TX,78238-4114,3,29.4585,-98.627397,772.0,,27367.0,,,
5272,Cosmetology Academy of Texarkana,Texarkana,TX,75503,3,33.457096,-94.132583,64.0,,18015.0,,,
5287,DeVry University-Texas,Irving,TX,75063,3,32.934524,-97.012494,84.0,33242.0,,17488.0,17488.0,0.0
5294,Alamo City Barber College,San Antonio,TX,78250-3227,3,29.52717,-98.639532,145.0,,16519.0,,,
5298,Texas A&M University-Central Texas,Killeen,TX,76549,1,31.053407,-97.775182,1706.0,11349.0,,6627.0,16419.0,0.9571
5318,Neecee's Barber College,Abilene,TX,79602,3,32.400984,-99.745008,31.0,,23230.0,,,
5319,Bella Cosmetology and Barber College,Greenville,TX,75402,3,33.119725,-96.107802,58.0,,29486.0,,,
5325,Total Transformation Institute of Cosmetology,San Marcos,TX,78666-8115,3,29.882696,-97.920002,70.0,,31180.0,,,
5346,Barber Institute of Texas,Longview,TX,75602-3456,3,32.46297,-94.732635,63.0,,21951.0,,,
5354,Yahweh Beauty Academy,Killeen,TX,76543-4153,3,31.112893,-97.700269,33.0,,19781.0,,,
5367,Ogle School Hair Skin Nails-Stafford,Stafford,TX,77477,3,29.63502,-95.588371,452.0,,24641.0,,,
5371,University of Phoenix-Texas,Houston,TX,77079,3,29.7837,-95.585258,54.0,,,,,
5376,University of North Texas at Dallas,Dallas,TX,75241,1,32.659588,-96.803446,2923.0,20965.0,,9518.0,21758.0,0.9361
5380,Houston Training Schools-Gessner,Houston,TX,77063-0000,3,29.72401,-95.540324,193.0,,11641.0,,,
5388,The Vocational Nursing Institute Inc,Houston,TX,77065,2,29.903883,-95.587085,35.0,,60371.0,,,1.0
5410,Salon Boutique Academy,Addison,TX,75001-4399,3,32.954908,-96.841676,156.0,,24989.0,,,
5411,GA Beauty & Barber School,McAllen,TX,78501-3309,3,26.237585,-98.257166,229.0,,29765.0,,,
5412,The Recording Conservatory of Austin,Austin,TX,78730-3004,3,30.360236,-97.831161,82.0,,27082.0,,,
5442,Laredo CHI Academy Beauty School,Laredo,TX,78041-6540,3,27.575732,-99.467036,57.0,,16046.0,,,
5453,Cortiva Institute-Arlington,Arlington,TX,76017-5818,3,32.6769,-97.119031,108.0,,24269.0,,,
5454,Tulsa Welding School-Houston,Houston,TX,77060-2100,3,29.950897,-95.413192,1529.0,,35430.0,,,
5455,Pima Medical Institute-El Paso,El Paso,TX,79915-1525,3,31.773629,-106.383883,673.0,,26682.0,,,
5469,Wade Gordon Hairdressing Academy-Lubbock,Lubbock,TX,79423-2125,3,33.524818,-101.869638,70.0,,22958.0,,,
5474,Texas College of Cosmetology-Lubbock,Lubbock,TX,79414-2532,3,33.561435,-101.924031,106.0,,21321.0,,,
5477,Texas State Technical College,Waco,TX,76705,1,31.639295,-97.08471,8775.0,21059.0,,6969.0,11435.0,
5490,Florida Career College-Houston,Houston,TX,77090-1111,3,30.022309,-95.431325,1029.0,,39875.0,,,
5523,Natural Images Beauty College,Clute,TX,77531-3603,3,29.026275,-95.400805,62.0,,29398.0,,,
5536,Mission Beauty Institute,Mission,TX,78572-4404,3,26.213855,-98.31205,47.0,,12728.0,,,
5557,Northeast Lakeview College,Universal City,TX,78145,1,29.545802,-98.323246,5277.0,10957.0,,3262.0,14272.0,
5571,Paul Mitchell the School-Clear Lake,Webster,TX,77598-0000,3,29.527723,-95.126497,136.0,,22284.0,,,
5581,The College of Health Care Professions-McAllen Campus,McAllen,TX,78504-4398,3,26.239856,-98.234872,670.0,,29890.0,,,
5622,Ann Webb Skin Institute,Austin,TX,78759-3936,3,30.419687,-97.751895,167.0,,24689.0,,,
5632,Allgood Beauty Institute,Frisco,TX,75033-4112,3,33.15731,-96.804131,21.0,,29273.0,,,
5636,Manuel and Theresa's School of Hair Design,Brenham,TX,77833-3033,3,30.176143,-96.387591,7.0,,17338.0,,,
5639,Peloton College,Arlington,TX,76011-9998,3,32.758324,-97.092451,95.0,,22140.0,,,
5652,Strand Institute of Beauty & Esthetics,Portland,TX,78374,3,27.878924,-97.319593,71.0,,28459.0,,,
5663,The Culinary School of Fort Worth,Fort Worth,TX,76116,3,32.724044,-97.428672,68.0,,25810.0,,,1.0
5667,Miller-Motte College-Edge Tech Academy,Arlington,TX,76010,3,32.708476,-97.060733,103.0,,26543.0,,,
5677,Mystros Barber Academy,Houston,TX,77090-3300,2,30.014,-95.453049,26.0,,,,,
5701,Salon Professional Academy of San Antonio,San Antonio,TX,78232-2242,3,29.59369,-98.47,86.0,,19452.0,,,
5704,Vogue International Academy,Houston,TX,77082,3,29.73076,-95.641271,18.0,,20145.0,,,
5714,The Salon Professional Academy-Georgetown,Georgetown,TX,78626-5470,3,30.635778,-97.688068,45.0,,19807.0,,,
5732,Chicago School of Professional Psychology at Dallas,Richardson,TX,75080-2208,2,32.979753,-96.75721,2.0,,,13224.0,13224.0,
5736,Texas Tech University Health Sciences Center-El Paso,El Paso,TX,79905-2827,1,31.771891,-106.43122,257.0,,,,,
5738,The College of Health Care Professions-South San Antonio,San Antonio,TX,78221-1474,3,29.355101,-98.525559,340.0,,31785.0,,,
5756,MCI,McAllen,TX,78501-2702,3,26.199744,-98.22256,111.0,,19423.0,,,
5767,Montana Barber Institute,El Paso,TX,79938-4655,3,31.763303,-106.265623,21.0,,23061.0,,,
5774,Houston Barber School,Houston,TX,77073-4400,3,29.966414,-95.415514,221.0,,22739.0,,,
5779,Deluxe Barber College,San Antonio,TX,78217-2118,3,29.554971,-98.400819,95.0,,25020.0,,,
5787,Southern Careers Institute-Waco,Waco,TX,76706-3756,3,31.512387,-97.139246,263.0,,23318.0,,,
5791,Arizona College of Nursing-Dallas,Dallas,TX,75243-1200,3,32.923106,-96.75999,296.0,32261.0,,22826.0,22826.0,1.0
5799,Evvaylois Academy School of Beauty,Brenham,TX,77833,2,30.148715,-96.388462,14.0,,26700.0,,,
5800,Avenue Five Institute-South Austin Campus,Austin,TX,78704-3259,3,30.221953,-97.756266,84.0,,28027.0,,,
5802,Pima Medical Institute-San Antonio,San Antonio,TX,78213,3,29.488708,-98.540716,369.0,,22763.0,,,
5804,The Southwestern Baptist Theological Seminary,Fort Worth,TX,76115,2,32.681685,-97.348233,288.0,,,9910.0,9910.0,0.732
5806,Christ Mission College,San Antonio,TX,78254-1000,2,29.543412,-98.70699,47.0,14398.0,,8229.0,8229.0,
5810,Texas Healthtech Institute,Beaumont,TX,77707-2604,3,30.064641,-94.206012,74.0,,17406.0,,,
5812,Tonsorial Arts Barber College,Texarkana,TX,75501-3264,3,33.435351,-94.079302,73.0,,28579.0,,,
5813,Michael's Barber & Hair Stylist Academy,Irving,TX,75062-6016,3,32.838765,-96.978283,54.0,,28218.0,,,
5833,Austin Career Institute,Austin,TX,78752,3,30.36933,-97.726714,76.0,,25894.0,,,
5844,Pearlands Innovative School of Beauty,Pearland,TX,77584-7891,3,29.55683,-95.365954,21.0,,23925.0,,,
5850,The Professional Cosmetology Academy,Laredo,TX,78041-5930,3,27.555981,-99.481765,100.0,,18618.0,,,
5865,Elite Welding Academy,Houston,TX,77087-2904,3,29.700719,-95.298611,20.0,,27566.0,,,
5898,CTK Healthcare & Career Institute,Irving,TX,75062-7861,3,32.854097,-96.993287,61.0,,8884.0,,,
5901,Institute of Allied Healthcare,San Antonio,TX,78229-4538,3,29.507147,-98.570242,25.0,,7700.0,,,
5910,Abilene Christian University-Undergraduate Online,Addison,TX,75001,2,32.977065,-96.826833,766.0,19042.0,,14520.0,14520.0,0.9915
5912,Ogle School Hair Skin Nails-Willowbrook,Houston,TX,77070-5656,3,29.961825,-95.550032,406.0,,23948.0,,,
5914,Galen Health Institutes-Austin Campus,Austin,TX,78781-2301,3,30.476575,-97.690907,626.0,30546.0,,15800.0,15800.0,
5919,Mei Barber School,Brownsville,TX,78520-5472,3,25.907884,-97.505114,107.0,,9026.0,,,
5924,Universal Technical Institute-West Texas,Austin,TX,78753-9742,3,30.415828,-97.660482,434.0,,29948.0,,,
5929,Barber Education Academy,Laredo,TX,78041-6039,3,27.555745,-99.48055,40.0,,,,,
5930,Legends Barber College,Lufkin,TX,75904-3105,3,31.331903,-94.754951,24.0,,10000.0,,,
5932,Barbers Trade School,Beaumont,TX,77701-3308,3,30.081479,-94.097718,11.0,,20085.0,,,
5933,Top of the Line Barber School,San Antonio,TX,78218-2109,3,29.508769,-98.371419,86.0,,28353.0,,,
5940,RCCGNA Seminary,Greenville,TX,75401-7614,2,33.146603,-96.238771,36.0,10300.0,,6800.0,6800.0,0.959
5980,Premier Barber School,Houston,TX,77088-2518,3,29.89282,-95.480589,26.0,,,,,
5984,Galen Health Institutes-Houston,Houston,TX,77041-8241,3,29.839951,-95.562419,0.0,,,66120.0,66120.0,
6162,Columbia College - Fort Worth,Fort Worth,TX,76127-1188,2,,,,,,8496.0,8496.0,
6179,Columbia College - Mesquite,Mesquite,TX,75150,2,,,,,,8496.0,8496.0,
6186,Columbia College - Eastfield Pleasant Grove,Dallas,TX,75217,2,,,,,,8496.0,8496.0,
6217,Culinary Institute of America San Antonio,San Antonio,TX,78215,2,,,,,,35860.0,35860.0,
6257,Huston - Tillotson University - Center for Entrepreneurship and Innova,Austin,TX,78702-2753,2,,,,,,28230.0,28230.0,
6258,San Jacinto College-North Campus,Houston,TX,77049-4599,1,,,,,,1872.0,5040.0,
6259,San Jacinto College-South Campus,Houston,TX,77089-6099,1,,,,,,1872.0,5040.0,
6260,San Jacinto Community College District - Generation Park Campus,Houston,TX,77044-0000,1,,,,,,1872.0,5040.0,
6261,Texas A & M University Health Science Center,Bryan,TX,77807,1,,,,,,13239.0,40139.0,
6335,ECPI University - San Antonio,San Antonio,TX,78229-3642,3,,,,,,18484.0,18484.0,
6338,Nuvani Institute-Uvalde,Uvalde,TX,78801-5242,3,,,,,,,,
6339,Nuvani Institute-Del Rio,Del Rio,TX,78840-5865,3,,,,,,,,
6340,Nuvani Institute-South Campus,Austin,TX,78745-5865,3,,,,,,,,
6360,Texas Barber College - Branch Campus #1,Dallas,TX,75241,3,,,,,,,,
6361,Texas Barber College - Branch Campus #2,Dallas,TX,75228,3,,,,,,,,
6362,Texas Barber College - Branch Campus #5,Houston,TX,77022,3,,,,,,,,
6385,CCI Training Center,Dallas,TX,75231,3,,,,,,,,
6391,Academy of Hair Design - Austin,Austin,TX,78741-1338,3,,,,,,,,
6419,Strayer University-Northwest Houston,Houston,TX,77064-5768,3,,,,,,13515.0,13515.0,
6420,Strayer University-Cedar Hill,Cedar Hill,TX,75104-5768,3,,,,,,13515.0,13515.0,
6421,Strayer University-North Dallas,Farmers Branch,TX,75234-5768,3,,,,,,13515.0,13515.0,
6422,Strayer University-San Antonio,San Antonio,TX,78216-5768,3,,,,,,13515.0,13515.0,
6423,Strayer University - Northwest Houston Campus,Houston,TX,77064-5768,3,,,,,,13515.0,13515.0,
6431,Relay Graduate School of Education - Houston,Houston,TX,77036,2,,,,,,,,
6437,Relay Graduate School of Education - San Antonio,San Antonio,TX,78212,2,,,,,,,,
6438,Relay Graduate School of Education - Dallas-Fort Worth,Dallas,TX,75232,2,,,,,,,,
